,manufacturer
964,Fresco
885,Felchlin
2508,Zoto (Chocolatoa)
1569,Metiisto
2303,Tejas
142,Arete
1581,Michel Cluizel
1732,Odyssey
312,Bonnat
1945,Raaka
984,Fresco
1681,Neuhaus (Callebaut)
623,Coppeneur
262,Bittersweet Origins
1924,Pura Delizia
1814,Park 75
2484,Zac Squared
374,Cacao Barry
1331,La Maison du Chocolat (Valrhona)
948,French Broad
1884,Pralus
1054,Glennmade
595,Cleveland Chocolate Company
1365,Legast
1523,Mast Brothers
2210,Spencer
1559,Menakao (aka Cinagra)
2507,Zoto (Chocolatoa)
1762,organicfair
1638,Molucca
1689,Nikoa
1726,Odyssey
2047,Scharffen Berger
2149,Soma
642,Crow and Moss
2084,Sirene
86,Amazing Cacao
782,Domori
1178,Holy Cacao
2182,Soma
990,Fresco
89,Ambrosia
1038,Fruition
2099,"Smooth Chocolator, The"
796,Double Spiral
1013,Friis Holm (Bonnat)
1072,Green Bean to Bar
876,Ethereal
154,Argencove
537,Chocolate Makers
1588,Middlebury
2451,Wilkie's Organic
629,Coppeneur
1273,Kallari (Ecuatoriana)
1002,Friis Holm
118,Ara
552,Chocosol
256,Bittersweet Origins
979,Fresco
591,Claudio Corallo
475,Castronovo
2399,Valrhona
916,Fossa
1605,Millesime
228,Belyzium
482,Castronovo
452,Caoni (Tulicorp)
712,Davis
547,Chocolats Privilege
621,Coppeneur
443,Cao
88,Amazona
2163,Soma
1615,Mindo
888,Felchlin
1624,Mission
1545,Maverick
235,Benoit Nihant
2480,Xocolatl
1320,La Chocolaterie Nanairo
1052,Georgia Ramon
734,DeVries
724,Dean and Deluca (Belcolade)
395,Cacao Hunters
2087,Sirene
822,Durci
1986,Rococo (Grenada Chocolate Co.)
2489,Zak's
295,Bonnat
1221,Idilio (Felchlin)
1189,Hotel Chocolat (Coppeneur)
2026,Salgado
2260,Szanto Tibor
1757,Orfeve
692,Danta
2147,Soma
212,Bean
148,Arete
1629,Moho
2432,Violet Sky
2056,Seahorse
1996,Rogue
527,Chocolate Con Amor
889,Felchlin
72,Amano
1275,Kallari (Ecuatoriana)
1546,Maverick
284,Blue Bandana
1761,organicfair
2415,Videri
718,De Villiers
106,Amedei
1081,Guido Castagna
1312,L.A. Burdick (Felchlin)
1156,hexx
1672,Nathan Miller
1695,Ninth (9th) & Larkin
651,Cuna de Piedra
1518,Mast Brothers
680,Dandelion
1119,Harper Macaw
2129,Solstice
1591,Middlebury
1710,Nuance
1152,hexx
631,Coppeneur
1217,Idilio (Felchlin)
903,Five (5)Mile
1753,Or Dubh
1583,Michel Cluizel
806,Duffy's
2351,Triangle Roasters
397,Cacao Hunters
1889,Pralus
1989,Rogue
616,Coppeneur
1961,Republica del Cacao (aka Confecta)
371,Cacao Atlanta
1274,Kallari (Ecuatoriana)
334,Brasstown aka It's Chocolate
1480,Map Chocolate
416,Cacao Store
874,Ethereal
727,Definite
1654,Muchomas (Mesocacao)
1434,Madre
1436,Madre
1362,Land
325,Bowler Man
945,French Broad
138,Arete
850,Encuentro
1556,Mellow
703,DAR
2301,Tejas
1971,Ritual
683,Dandelion
1965,Ritual
760,Doble & Bignall
1322,La Chocolaterie Nanairo
2104,"Smooth Chocolator, The"
594,Cleveland Chocolate Company
1419,Lumineux
1767,Original Beans (Felchlin)
719,Dean and Deluca (Belcolade)
993,Fresco
2041,Scharffen Berger
833,El Buen
685,Dandelion
2330,Tibito
2064,Shane Chocolate Works
783,Domori
139,Arete
1008,Friis Holm
583,Christopher Elbow
854,ENNA
574,Chokola
2074,Shattell
1562,Mesocacao
237,Benoit Nihant
743,Dick Taylor
2274,Tala
20,A. Morin
1735,Odyssey
1643,Monarque
1398,Lonohana
1737,Ohiyo
735,Dick Taylor
11,A. Morin
298,Bonnat
441,Cao
1316,L.A. Burdick (Felchlin)
1505,Marou
477,Castronovo
1718,Ocho
1593,Middlebury
76,Amano
29,A. Morin
1308,Kyya
493,Cello
129,Arete
1752,Omnom
438,C-Amaro
1194,Hotel Chocolat (Coppeneur)
1582,Michel Cluizel
1633,Moka Origins
2395,Valrhona
2223,Stella (aka Bernrain)
2179,Soma
1850,Pierre Marcolini
705,Darcis
2167,Soma
223,Bellflower
803,Duffy's
1234,Izard
946,French Broad
550,Chocolibrium
2509,Zotter
1307,Kyya
1033,Fruition
1729,Odyssey
570,Choklat
597,Coco
713,Davis
2367,Uncouth
2152,Soma
1062,Gotham
343,Brazen
387,Cacao de Origen
763,Dolfin (Belcolade)
2201,Spagnvola
307,Bonnat
2368,Uncouth
131,Arete
1479,Map Chocolate
604,Compania de Chocolate (Salgado)
761,Doble & Bignall
2455,Willie's Cacao
2384,Valrhona
385,Cacao de Origen
2441,White Label aka Mutari
2175,Soma
164,Artisan du Chocolat
149,Arete
1738,Oialla by Bojessen (Malmo)
497,Chaleur B
1222,Idilio (Felchlin)
1192,Hotel Chocolat (Coppeneur)
1982,Roasting Masters
2391,Valrhona
367,Cacao 70
1056,Goodnow Farms
585,Christopher Elbow
1609,Millesime
2091,Sirene
2292,TCHO
1923,Pura Delizia
2138,Soma
1841,Pierre Marcolini
1371,Letterpress
