,id
964,682
885,48
2508,2048
1569,1267
2303,817
142,1924
1581,117
1732,2582
312,629
1945,2032
984,2024
1681,531
623,470
262,414
1924,1984
1814,1363
2484,2618
374,147
1331,439
948,883
1884,99
1054,1848
595,2630
1365,2266
1523,709
2210,1932
1559,837
2507,2064
1762,1165
1638,1614
1689,2398
1726,2494
2047,336
2149,676
642,2466
2084,1339
86,1964
782,863
1178,1872
2182,1828
990,2642
89,1494
1038,2664
2099,1626
796,2390
1013,623
1072,1896
876,2142
154,2162
537,1530
1588,887
2451,1169
629,821
1273,248
1002,2126
118,1379
552,682
256,233
979,1383
591,209
475,1101
2399,1972
916,2072
1605,2346
228,1768
482,1371
452,269
712,1093
547,1219
621,478
443,1808
88,1145
2163,1073
1615,2382
888,56
1624,1880
1545,2486
235,757
2480,2518
1320,1892
1052,2282
734,241
724,180
395,1430
2087,1506
822,1630
1986,923
2489,1582
295,24
1221,737
1189,300
2026,288
2260,1704
1757,2676
692,423
2147,682
212,2374
148,2028
1629,1026
2432,1458
2056,2104
1996,1081
527,1760
889,494
72,147
1275,248
1546,2482
284,911
1761,1165
2415,1211
718,1832
106,2092
1081,355
1312,576
1156,2150
1672,1403
1695,2394
651,2622
1518,572
680,2386
1119,1696
2129,1157
1591,1117
1710,2486
1152,1550
631,1984
1217,733
903,2154
1753,2514
1583,963
806,765
2351,2664
397,1816
1889,93
1989,213
616,341
1961,147
371,502
1274,241
334,1129
1480,1478
416,1684
874,1275
727,2222
1654,1462
1434,991
1436,995
1362,2048
325,1267
945,781
138,1724
850,2108
1556,2362
703,1920
2301,829
1971,1466
683,2550
1965,745
760,1407
1322,1892
2104,1622
594,2630
1419,2502
1767,341
719,170
993,2644
2041,135
833,2534
685,2546
2330,2182
2064,2370
783,863
139,1904
1008,2122
583,2310
854,2350
574,2534
2074,757
1562,1351
237,1141
743,1634
2274,2286
20,1315
1735,2566
1643,1812
1398,1097
1737,1598
735,661
11,1011
298,48
441,1804
1316,927
1505,1650
477,1105
1718,1411
1593,1490
76,363
29,1876
1308,1363
493,1247
129,1598
1752,2036
438,1442
1194,623
1582,135
1633,2338
2395,931
2223,859
2179,1820
1850,2342
705,2342
2167,1081
223,1804
803,697
1234,1542
946,785
550,2080
2509,486
1307,1359
1033,1780
1729,2498
570,377
597,2474
713,1093
2367,2000
2152,967
1062,2194
343,1514
387,1688
763,63
2201,793
307,629
2368,2004
131,1904
1479,1474
604,292
761,1688
2455,593
2384,153
385,1668
2441,2092
2175,1594
164,486
149,2068
1738,761
497,1426
1222,1085
1192,552
1982,1844
2391,327
367,2266
1056,1924
585,2306
1609,2570
2091,1788
2292,387
1923,1988
2138,387
1841,141
1371,1566
345,1518
1731,2704
1305,1359
2021,615
1778,224
699,987
700,1223
2300,805
1435,995
350,1231
1747,688
2103,1662
944,1538
2338,789
1786,1415
226,2190
2359,1026
1871,2582
929,2322
1491,2610
1863,1510
511,672
1036,2550
167,600
2371,1438
906,2202
676,2024
2343,2270
2516,879
253,2088
1966,967
792,2052
1065,2644
1277,241
1182,1654
798,2390
773,111
1717,1411
2409,1470
1707,1454
1210,1387
1374,1728
2522,883
542,1582
904,2154
1005,2134
887,48
701,1920
917,2072
1906,2414
1513,1189
66,1732
1724,2494
1345,1434
269,963
881,1736
1190,552
1915,1688
31,2206
1975,2282
1907,2418
1570,2166
2098,1462
1973,1860
875,1275
1538,1177
156,2162
1933,2238
645,2466
1864,1510
1835,93
1769,733
2285,785
417,1684
2109,1908
1364,1972
2140,387
1756,2680
1193,623
1994,979
1869,829
2114,1940
576,2638
677,2178
1984,1061
108,572
2061,2594
165,600
818,1630
2369,2004
1967,979
1146,1462
1927,935
163,363
495,1251
1445,308
2387,162
2246,2230
99,129
573,2514
186,2056
1315,891
2018,615
1853,2462
1181,1030
35,2462
878,2450
2390,395
941,1351
1242,2008
1188,245
2191,2638
2245,2242
1408,2198
2321,1614
2014,2036
1948,1558
1400,1383
2226,2012
1158,2146
1675,2060
181,661
973,927
2306,971
2016,2660
249,1482
2354,2490
213,1948
778,272
999,1375
2471,1042
2517,879
1567,2250
1050,2012
98,123
1086,99
1579,24
1133,2302
1891,280
1130,1876
624,558
549,2080
1517,572
2097,1454
460,845
2125,2366
1794,1399
998,1375
2208,1932
1960,147
1071,15
2492,1578
1619,1960
843,2382
2325,188
898,2398
827,1812
755,2402
465,1884
2011,2672
668,1085
1150,1546
418,1684
369,600
1678,24
1396,1093
1851,2700
1625,2354
356,2052
170,729
1209,1311
1802,1720
401,647
1898,2406
1219,737
2081,725
1339,1189
1719,1411
2134,1992
1395,1049
1845,531
1947,565
2355,2490
1174,1466
462,1586
265,565
794,2096
1665,1399
1356,327
403,991
2298,967
563,478
2161,1173
2271,1450
508,2422
648,2522
1510,544
2035,15
151,2450
215,1784
1705,1458
2378,75
2266,1101
1347,1590
2505,2044
1447,184
339,1868
2416,1211
1498,845
1333,346
1344,2186
2,2454
453,269
2173,1259
244,508
2316,1478
1616,1920
2308,971
1790,2230
674,1446
762,311
795,2696
422,2610
365,2330
2398,1510
1014,623
2078,911
1260,2394
2023,813
2428,1458
1803,1992
318,1339
1165,414
2197,1936
